Season,Age,Tm,Lg,GP,G,A,PTS,GC,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1990-91,18,PIT,NHL,80,27,30,57,22,-4,42,20,7,0,4,136,19.9,,
1991-92,19,PIT,NHL,70,32,37,69,27,12,34,28,4,0,4,194,16.5,,
1992-93,20,PIT,NHL,81,34,60,94,34,30,61,23,10,1,9,242,14.0,,
1993-94,21,PIT,NHL,80,32,67,99,35,15,61,23,9,0,6,298,10.7,,
1994-95,22,PIT,NHL,48,32,38,70,27,23,37,21,8,3,7,192,16.7,,
1995-96,23,PIT,NHL,82,62,87,149,56,31,96,41,20,1,12,403,15.4,,
1996-97,24,PIT,NHL,63,47,48,95,38,22,40,34,11,2,6,234,20.1,,
1997-98,25,PIT,NHL,77,35,67,102,36,17,64,28,7,0,8,262,13.4,,
1998-99,26,PIT,NHL,81,44,83,127,46,17,66,33,10,1,7,343,12.8,2094,25:51
1999-00,27,PIT,NHL,63,42,54,96,37,25,50,32,10,0,5,290,14.5,1462,23:12
2000-01,28,PIT,NHL,81,52,69,121,46,19,42,37,14,1,10,317,16.4,1888,23:19
2001-02,29,WSH,NHL,69,31,48,79,30,0,30,21,10,0,3,197,15.7,1498,21:43
2002-03,30,WSH,NHL,75,36,41,77,30,5,38,21,13,2,9,290,12.4,1598,21:18
2003-04,31,TOT,NHL,77,31,43,74,28,-5,38,21,10,0,3,257,12.1,1613,20:57
2003-04,31,WSH,NHL,46,16,29,45,16,-4,26,10,6,0,1,159,10.1,970,21:05
2003-04,31,NYR,NHL,31,15,14,29,12,-1,12,11,4,0,2,98,15.3,643,20:45
2005-06,33,NYR,NHL,82,54,69,123,47,34,72,30,24,0,9,368,14.7,1810,22:05
2006-07,34,NYR,NHL,82,30,66,96,34,26,78,23,7,0,5,324,9.3,1784,21:46
2007-08,35,NYR,NHL,82,25,46,71,25,8,58,18,7,0,5,249,10.0,1678,20:28
2011-12,39,PHI,NHL,73,19,35,54,20,5,30,11,8,0,2,170,11.2,1193,16:20
Career,,,NHL,1346,665,988,1653,618,280,937,465,189,11,114,4766,14.0,16619,21:43
