Season,Age,Tm,Lg,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,GPS,G,A,PTS,PIM
1991-92,19,NJD,NHL,4,2,1,0,10,85,75,.882,3.35,0,179,0.4,0,0,0,0
1993-94,21,NJD,NHL,47,27,11,8,105,1238,1133,.915,2.40,3,2625,8.9,0,0,0,2
1994-95,22,NJD,NHL,40,19,11,6,89,908,819,.902,2.45,3,2184,5.2,0,2,2,2
1995-96,23,NJD,NHL,77,34,30,12,173,1954,1781,.911,2.34,6,4433,12.8,0,1,1,6
1996-97,24,NJD,NHL,67,37,14,13,120,1633,1513,.927,1.88,10,3838,12.4,0,4,4,8
1997-98,25,NJD,NHL,70,43,17,8,130,1569,1439,.917,1.89,10,4128,11.1,0,3,3,10
1998-99,26,NJD,NHL,70,39,21,10,162,1728,1566,.906,2.29,4,4239,9.8,0,4,4,4
1999-00,27,NJD,NHL,72,43,20,8,161,1797,1636,.910,2.24,6,4312,12.1,1,4,5,16
2000-01,28,NJD,NHL,72,42,17,11,166,1762,1596,.906,2.32,9,4297,11.3,0,1,1,14
2001-02,29,NJD,NHL,73,38,26,9,156,1655,1499,.906,2.15,4,4347,9.8,0,4,4,8
2002-03,30,NJD,NHL,73,41,23,9,147,1706,1559,.914,2.02,9,4374,11.4,0,0,0,10
2003-04,31,NJD,NHL,75,38,26,11,154,1845,1691,.917,2.03,11,4555,12.5,0,0,0,4
2005-06,33,NJD,NHL,73,43,23,7,187,2105,1918,.911,2.57,5,4365,14.9,0,3,3,4
2006-07,34,NJD,NHL,78,48,23,7,171,2182,2011,.922,2.18,12,4697,17.3,0,1,1,12
2007-08,35,NJD,NHL,77,44,27,6,168,2089,1921,.920,2.17,4,4635,15.5,0,4,4,6
2008-09,36,NJD,NHL,31,19,9,3,73,870,797,.916,2.41,5,1814,5.9,0,0,0,4
2009-10,37,NJD,NHL,77,45,25,6,168,2004,1836,.916,2.24,9,4499,13.2,0,3,3,6
2010-11,38,NJD,NHL,56,23,26,3,127,1313,1186,.903,2.45,6,3116,6.3,0,2,2,2
2011-12,39,NJD,NHL,59,31,21,4,136,1472,1336,.908,2.41,3,3392,7.9,0,4,4,2
Career,,,NHL,1191,656,371,141,2603,29915,27312,.913,2.23,119,70029,198.7,1,40,41,120
