Season,Age,Tm,Lg,GP,G,A,PTS,GC,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1991-92,21,DET,NHL,80,11,49,60,20,36,22,6,5,0,1,168,6.5,,
1992-93,22,DET,NHL,84,7,34,41,13,7,28,4,3,0,2,156,4.5,,
1993-94,23,DET,NHL,84,10,46,56,18,43,26,6,4,0,3,200,5.0,,
1994-95,24,DET,NHL,43,10,16,26,10,15,6,3,7,0,0,90,11.1,,
1995-96,25,DET,NHL,81,17,50,67,23,29,20,8,8,1,1,211,8.1,,
1996-97,26,DET,NHL,79,15,42,57,19,11,30,7,8,0,1,214,7.0,,
1997-98,27,DET,NHL,80,17,42,59,21,22,18,9,7,1,1,205,8.3,,
1998-99,28,DET,NHL,81,14,43,57,19,14,14,6,6,2,3,205,6.8,2148,26:31
1999-00,29,DET,NHL,81,20,53,73,25,19,18,7,9,4,3,218,9.2,2328,28:45
2000-01,30,DET,NHL,82,15,56,71,23,9,18,7,8,0,0,272,5.5,2333,28:27
2001-02,31,DET,NHL,78,9,50,59,18,13,20,3,6,0,0,215,4.2,2247,28:49
2002-03,32,DET,NHL,82,18,44,62,22,40,38,9,8,1,4,175,10.3,2406,29:20
2003-04,33,DET,NHL,81,10,28,38,13,19,18,6,3,1,3,194,5.2,2240,27:39
2005-06,35,DET,NHL,80,16,64,80,26,21,50,7,9,0,2,243,6.6,2249,28:07
2006-07,36,DET,NHL,80,13,49,62,20,40,46,3,10,0,1,224,5.8,2199,27:29
2007-08,37,DET,NHL,76,10,60,70,21,40,40,5,5,0,4,188,5.3,2031,26:43
2008-09,38,DET,NHL,78,16,43,59,20,31,30,6,10,0,4,180,8.9,1936,24:49
2009-10,39,DET,NHL,82,9,40,49,16,22,24,4,5,0,1,194,4.6,2085,25:26
2010-11,40,DET,NHL,82,16,46,62,21,-2,20,9,7,0,1,175,9.1,1924,23:28
2011-12,41,DET,NHL,70,11,23,34,12,21,28,7,4,0,0,148,7.4,1664,23:46
Career,,,NHL,1564,264,878,1142,378,450,514,122,132,10,35,3875,6.8,27790,26:54
