Season,Age,Tm,Lg,GP,G,A,PTS,GC,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1992-93,22,WIN,NHL,84,76,56,132,56,8,45,52,24,0,7,387,19.6,,
1993-94,23,WIN,NHL,51,25,29,54,21,-23,22,14,11,0,2,191,13.1,,
1994-95,24,WIN,NHL,45,22,26,48,19,1,2,12,8,2,1,167,13.2,,
1995-96,25,TOT,NHL,79,40,68,108,41,5,22,30,9,1,5,267,15.0,,
1995-96,25,WIN,NHL,51,24,48,72,27,3,18,17,6,1,4,163,14.7,,
1995-96,25,MDA,NHL,28,16,20,36,14,2,4,13,3,0,1,104,15.4,,
1996-97,26,MDA,NHL,78,51,58,109,43,28,34,39,11,1,8,273,18.7,,
1997-98,27,MDA,NHL,73,52,34,86,39,12,30,41,10,1,10,268,19.4,,
1998-99,28,MDA,NHL,75,47,60,107,42,18,30,22,25,0,7,281,16.7,1709,22:47
1999-00,29,MDA,NHL,79,33,52,85,32,6,12,25,8,0,6,236,14.0,1795,22:44
2000-01,30,TOT,NHL,73,33,39,72,28,-7,36,21,12,0,7,233,14.2,1552,21:15
2000-01,30,MDA,NHL,61,26,33,59,23,-8,36,16,10,0,5,202,12.9,1333,21:51
2000-01,30,SJS,NHL,12,7,6,13,5,1,0,5,2,0,2,31,22.6,219,18:14
2001-02,31,SJS,NHL,82,29,25,54,23,-11,40,19,9,1,8,202,14.4,1392,16:58
2002-03,32,SJS,NHL,82,28,36,64,25,-6,30,21,7,0,5,253,11.1,1577,19:14
2003-04,33,COL,NHL,78,16,16,32,13,2,32,9,6,1,4,182,8.8,1261,16:10
2005-06,35,MDA,NHL,80,40,50,90,35,28,44,22,18,0,5,267,15.0,1424,17:48
2006-07,36,ANA,NHL,82,48,46,94,38,26,82,23,25,0,10,257,18.7,1451,17:42
2007-08,37,ANA,NHL,26,12,11,23,9,5,8,5,7,0,2,87,13.8,471,18:07
2008-09,38,ANA,NHL,65,27,27,54,21,-3,36,11,16,0,5,186,14.5,1072,16:29
2009-10,39,ANA,NHL,54,27,21,48,20,3,16,13,14,0,5,173,15.6,935,17:19
2010-11,40,ANA,NHL,73,31,49,80,29,6,49,15,16,0,5,213,14.6,1310,17:56
2011-12,41,ANA,NHL,82,26,40,66,25,-1,50,14,12,0,4,210,12.4,1466,17:53
Career,,,NHL,1341,663,743,1406,559,97,620,408,248,7,106,4333,15.3,17414,18:42
