Season,Age,Tm,Lg,GP,G,A,PTS,GC,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1978-79,18,TOT,WHA,80,46,64,110,43,20,19,37,9,0,,270,17.0,,
1978-79,18,INR,WHA,8,3,3,6,2,-3,0,3,0,0,,17,17.6,,
1978-79,18,EDO,WHA,72,43,61,104,40,23,19,34,9,0,,253,17.0,,
1979-80,19,EDM,NHL,79,51,86,137,51,15,21,37,13,1,6,284,18.0,,
1980-81,20,EDM,NHL,80,55,109,164,60,41,28,36,15,4,3,261,21.1,,
1981-82,21,EDM,NHL,80,92,120,212,82,81,26,68,18,6,12,369,24.9,,
1982-83,22,EDM,NHL,80,71,125,196,74,60,59,47,18,6,9,348,20.4,,
1983-84,23,EDM,NHL,74,87,118,205,80,76,39,55,20,12,11,324,26.9,,
1984-85,24,EDM,NHL,80,73,135,208,77,98,52,54,8,11,7,358,20.4,,
1985-86,25,EDM,NHL,80,52,163,215,72,71,46,38,11,3,6,350,14.9,,
1986-87,26,EDM,NHL,79,62,121,183,67,70,28,42,13,7,4,288,21.5,,
1987-88,27,EDM,NHL,64,40,109,149,51,39,24,26,9,5,3,211,19.0,,
1988-89,28,LAK,NHL,78,54,114,168,61,15,26,38,11,5,5,303,17.8,,
1989-90,29,LAK,NHL,73,40,102,142,49,8,42,26,10,4,4,236,16.9,,
1990-91,30,LAK,NHL,78,41,122,163,55,30,16,33,8,0,5,212,19.3,,
1991-92,31,LAK,NHL,74,31,90,121,41,-12,34,17,12,2,2,215,14.4,,
1992-93,32,LAK,NHL,45,16,49,65,22,6,6,14,0,2,1,141,11.3,,
1993-94,33,LAK,NHL,81,38,92,130,46,-25,20,20,14,4,0,233,16.3,,
1994-95,34,LAK,NHL,48,11,37,48,16,-20,6,8,3,0,1,142,7.7,,
1995-96,35,TOT,NHL,80,23,79,102,34,-13,34,16,6,1,3,195,11.8,,
1995-96,35,LAK,NHL,62,15,66,81,26,-7,32,10,5,0,2,144,10.4,,
1995-96,35,STL,NHL,18,8,13,21,8,-6,2,6,1,1,1,51,15.7,,
1996-97,36,NYR,NHL,82,25,72,97,33,12,28,19,6,0,2,286,8.7,,
1997-98,37,NYR,NHL,82,23,67,90,30,-11,28,17,6,0,4,201,11.4,,
1998-99,38,NYR,NHL,70,9,53,62,19,-23,14,6,3,0,3,132,6.8,1475,21:04
Career,,,NHL,1487,894,1963,2857,1018,518,577,617,204,73,91,5089,17.6,1475,21:04
Career,,,WHA,80,46,64,110,43,20,19,37,9,0,,270,17.0,,
